SKU_ID,Product_Name,Category,Warehouse,Stock_Qty,Unit_Price,Reorder_Level,Supplier,Last_Restock_Date
SKU1076,Study Table,FURNITURE,WH west,127,1277.46,10,Nova Wholesale,15-04-2025
SKU1039,Stapler Small,Stationery,wh-east ,225,2446.31,20,Fine Goods Pvt Ltd,24/04/2025
SKU1095,  Sports Sandals  ,FOOTWEAR,WH-East,118,2559.85,24,Prime Vendors,19-03-2025
SKU1107,Denim Jeans,APPAREL,wh-east ,51,418.26,13,Prime Vendors,09/07/2025
SKU1051,Mixer Grinder 500W,HOME APPLIANCES,WH-East,281,,17,Prime Vendors,18-01-2025
SKU1021,  Gel Pen Blue  ,stationery,Warehouse North,204,,24,Metro Distributors,19-04-2025
SKU1041,Electric Kettle 1.5L,Home Appliances,wh-north,248,3085.53,24,Fine Goods Pvt Ltd,15-08-2025
SKU1049,Mixer Grinder 500W,HOME APPLIANCES,WH-North,89,3682.19,29,Nova Wholesale,07/01/2025
SKU1042,Electric Kettle 1.5L,home appliances,wh-south,7,3448.74,38,Sharma Traders,19/07/2025
SKU1119,Winter Jacket,apparel,WH-East,163,925.21,34,Global Supply Co,20-01-2025
SKU1125,Steel Tiffin Box,KITCHENWARE,WH North ,273,677.05,21,Metro Distributors,10/04/2025
SKU1126,  Steel Tiffin Box  ,Kitchenware,wh-south,53,1576.93,18,Prime Vendors,07-08-2025
SKU1020,Wall Charger 20W,Electronics,WH west,52,,15,Fine Goods Pvt Ltd,05/05/2025
SKU1059,Iron Box Steam,Home Appliances,WH-East,128,2601.32,25,Fine Goods Pvt Ltd,22-07-2025
SKU1067,  Folding Table  ,Furniture,WH-East,127,346.51,10,Fine Goods Pvt Ltd,26-04-2025
SKU1061,Plastic Chair,Furniture,wh-north,103,2984.38,40,Prime Vendors,17-02-2025
SKU1145,Remote Car,Toys,WH North ,97,1318.79,12,Metro Distributors,19/06/2025
SKU1043,Electric Kettle 1.5L,Home Appliances,Warehouse East,290,3400.93,24,Global Supply Co,25/07/2025
SKU1092,Formal Shoes Men,Footwear,WH-West,136,3779.54,40,Metro Distributors,11/07/2025
SKU1018,Wall Charger 20W,ELECTRONICS,WH South,32,3937.45,13,Sharma Traders,14-04-2025
SKU1005,USB Cable Type-C,Electronics,Warehouse North,121,3941.63,37,Global Supply Co,10-08-2025
SKU1122,  Non-Stick Pan  ,Kitchenware, WH-South,160,2386.11,21,Nova Wholesale,19/01/2025
SKU1148,Remote Car,Toys,wh-west,201,177.92,14,Prime Vendors,26/04/2025
SKU1065,Folding Table,furniture,Warehouse North,81,3799.05,12,Global Supply Co,31-01-2025
SKU1052,Mixer Grinder 500W,Home Appliances,WH-West ,83,1920.57,13,Nova Wholesale,31-08-2025
SKU1066,Folding Table,furniture,WH-South,157,3960.62,19,Nova Wholesale,08-06-2025
SKU1078,Storage Rack,Furniture,WH South,265,589.21,12,Metro Distributors,17/07/2025
SKU1026,A4 Notebook 200pg,Stationery,WH-South,194,1780.83,27,Prime Vendors,19-03-2025
SKU1037,Stapler Small,Stationery,Warehouse North,165,542.27,38,Metro Distributors,10/05/2025
SKU1147,  Remote Car  ,toys,WH-East,86,613.98,29,Prime Vendors,20/07/2025
SKU1087,Sandals Women,Footwear,WH-East,152,674.0,24,Metro Distributors,31/05/2025
SKU1096,Sports Sandals,Footwear,wh-west,257,977.46,27,Global Supply Co,10/04/2025
SKU1041,Electric Kettle 1.5L,Home Appliances,wh-north,248,3085.53,24,Fine Goods Pvt Ltd,15-08-2025
SKU1025,A4 Notebook 200pg,stationery,WH North ,239,2273.82,13,Sharma Traders,18-05-2025
SKU1033,  Whiteboard Marker  ,stationery,wh-north,24,928.61,36,Fine Goods Pvt Ltd,31/03/2025
SKU1031,Sticky Notes Pack,stationery,WH-East,188,1035.64,13,Metro Distributors,19-07-2025
SKU1072,Bookshelf 3-Tier,Furniture,wh-west,97,1771.75,36,Fine Goods Pvt Ltd,24/01/2025
SKU1116,Track Pants,Apparel,WH-West,277,,36,,26/07/2025
SKU1064,  Plastic Chair  ,Furniture,WH-West ,99,,37,Fine Goods Pvt Ltd,30-01-2025
SKU1099,Sneakers Unisex,footwear,Warehouse East,237,887.82,30,Nova Wholesale,06-01-2025
SKU1019,Wall Charger 20W,ELECTRONICS,WH-East,221,,37,Sharma Traders,24-04-2025
SKU1156,Soft Toy Bear,TOYS,wh-west,45,2558.48,27,Metro Distributors,02-02-2025
SKU1093,Sports Sandals,Footwear,WH-North,208,3228.12,21,Sharma Traders,22/07/2025
SKU1050,Mixer Grinder 500W,Home Appliances,WH South,30,,24,Metro Distributors,28/03/2025
SKU1014,Power Bank 10000mAh,Electronics,wh-south,248,702.25,26,Nova Wholesale,19-04-2025
SKU1103,Cotton T-Shirt,APPAREL,WH-East,271,2591.2,10,Sharma Traders,03/05/2025
SKU1012,Bluetooth Speaker,Electronics,WH-West,264,653.72,34,Global Supply Co,19-05-2025
SKU1149,Puzzle 100pc,Toys,wh-north,208,1150.82,40,Sharma Traders,07-01-2025
SKU1104,Cotton T-Shirt,Apparel,wh-west,46,635.92,14,Metro Distributors,09-06-2025
SKU1094,  Sports Sandals  ,Footwear,wh-south,139,3298.55,40,Metro Distributors,28-01-2025
SKU1068,  Folding Table  ,Furniture,WH west,237,972.02,18,Prime Vendors,31-05-2025
SKU1035,Whiteboard Marker,STATIONERY,WH-East,140,2406.46,21,Prime Vendors,21/07/2025
SKU1111,Formal Shirt,apparel,WH-East,178,766.55,14,Nova Wholesale,18/06/2025
SKU1028,  A4 Notebook 200pg  ,STATIONERY,wh-west,255,3637.23,11,Sharma Traders,12/06/2025
SKU1003,LED Bulb 9W,ELECTRONICS,WH-East,221,664.14,40,Metro Distributors,27-01-2025
SKU1138,Cutlery Set,kitchenware,wh-south,239,3354.92,25,,18-05-2025
SKU1074,  Study Table  ,Furniture, WH-South,211,3308.46,10,Prime Vendors,11-08-2025
SKU1121,  Non-Stick Pan  ,Kitchenware,WH North ,293,1823.18,39,,14-06-2025
SKU1153,Soft Toy Bear,Toys,Warehouse North,287,3542.77,12,Metro Distributors,12-04-2025
SKU1127,Steel Tiffin Box,Kitchenware,WH-East,163,2809.0,22,Global Supply Co,02-06-2025
SKU1073,  Study Table  ,Furniture,WH-North,173,2007.1,31,Fine Goods Pvt Ltd,28-07-2025
SKU1025,A4 Notebook 200pg,stationery,WH North ,239,2273.82,13,Sharma Traders,18-05-2025
SKU1013,Power Bank 10000mAh,ELECTRONICS,Warehouse North,162,1001.44,28,Sharma Traders,22-01-2025
SKU1091,Formal Shoes Men,Footwear,wh-east ,72,1215.69,33,Fine Goods Pvt Ltd,14-02-2025
SKU1150,  Puzzle 100pc  ,TOYS,wh-south,138,897.55,29,,27/06/2025
SKU1056,Room Heater 1000W,Home Appliances,wh-west,143,3682.49,34,Fine Goods Pvt Ltd,30/04/2025
SKU1062,Plastic Chair,FURNITURE,WH South,149,,19,Global Supply Co,03-04-2025
SKU1118,Winter Jacket,Apparel,wh-south,240,3683.09,12,Fine Goods Pvt Ltd,05-08-2025
SKU1130,  Pressure Cooker 3L  ,kitchenware, WH-South,274,1380.22,34,Nova Wholesale,03-02-2025
SKU1101,Cotton T-Shirt,apparel,WH North ,133,484.21,37,,03-02-2025
SKU1024,Gel Pen Blue,Stationery,wh-west,138,2878.96,17,Metro Distributors,12-04-2025
SKU1006,  USB Cable Type-C  ,electronics,wh-south,186,1104.56,39,Prime Vendors,15-06-2025
SKU1128,Steel Tiffin Box,Kitchenware,WH-West,70,3324.39,33,,22-08-2025
SKU1079,Storage Rack,Furniture,WH-East,255,1813.86,25,Metro Distributors,27-03-2025
SKU1128,Steel Tiffin Box,Kitchenware,WH-West,70,3324.39,33,,22-08-2025
SKU1120,Winter Jacket,apparel,WH-West,80,628.45,16,Global Supply Co,04-06-2025
